time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4047, 1.962688, 0, 7, 1, 2, 2
1, 4200, 1.862857, 0, 6, 1, 2, 2
2, 4020, 1.970896, 0, 7, 1, 2, 2
3, 4222, 1.848887, 0, 8, 1, 2, 2
4, 4062, 1.960857, 0, 6, 1, 2, 2
5, 4163, 1.895988, 0, 15, 1, 2, 2
6, 4397, 1.762793, 0, 7, 1, 2, 2
7, 3738, 2.157571, 0, 17, 1, 2, 3
8, 4131, 1.914064, 0, 6, 1, 2, 2
9, 3932, 2.026195, 0, 13, 1, 2, 2
10, 3992, 1.991483, 0, 8, 1, 2, 3
11, 3977, 2.001006, 0, 7, 1, 2, 3
12, 3797, 2.119041, 0, 14, 1, 2, 3
13, 4054, 1.964726, 0, 6, 1, 2, 3
14, 4028, 1.979146, 0, 6, 1, 2, 3
15, 4068, 1.955998, 0, 9, 1, 2, 2
16, 4078, 1.935998, 0, 6, 1, 2, 2
17, 3694, 2.196806, 0, 51, 1, 2, 3
18, 3674, 2.214480, 0, 12, 1, 2, 3
19, 3812, 2.099948, 0, 14, 1, 2, 3
20, 4096, 1.925293, 0, 6, 1, 2, 2
21, 3890, 2.060668, 0, 6, 1, 2, 3
22, 4045, 1.967367, 0, 6, 1, 2, 2
23, 4040, 1.963861, 0, 6, 1, 2, 2
24, 4058, 1.948004, 0, 6, 1, 2, 2
25, 3620, 2.245028, 0, 76, 1, 2, 3
26, 3957, 2.006065, 0, 8, 1, 2, 3
27, 4079, 1.943859, 0, 7, 1, 2, 2
28, 4276, 1.829046, 0, 7, 1, 2, 2
29, 4267, 1.829623, 0, 7, 1, 2, 2
30, 4362, 1.790692, 0, 6, 1, 2, 2
31, 4079, 1.938220, 0, 7, 1, 2, 2
32, 4246, 1.852096, 0, 5, 1, 2, 2
33, 4334, 1.796954, 0, 5, 1, 2, 2
34, 4220, 1.787441, 0, 7, 1, 2, 2
35, 4089, 2.001956, 0, 57, 1, 2, 2
36, 4398, 1.765803, 0, 5, 1, 2, 2
37, 4035, 1.967782, 0, 24, 1, 2, 2
38, 4232, 1.857042, 0, 7, 1, 2, 2
39, 4246, 1.835846, 0, 7, 1, 2, 2
40, 4364, 1.787809, 0, 7, 1, 2, 2
41, 4225, 1.856331, 0, 7, 1, 2, 2
42, 4184, 1.885516, 0, 7, 1, 2, 2
43, 4024, 1.972416, 0, 8, 1, 2, 2
44, 4039, 1.966328, 0, 6, 1, 2, 2
45, 4070, 1.957248, 0, 6, 1, 2, 2
46, 4416, 1.750000, 0, 8, 1, 2, 2
47, 4262, 1.835758, 0, 6, 1, 2, 2
48, 4014, 1.971101, 0, 67, 1, 2, 2
49, 4263, 1.835327, 0, 6, 1, 2, 2
50, 4214, 1.859279, 0, 6, 1, 2, 2
51, 4276, 1.825772, 0, 8, 1, 2, 2
52, 4193, 1.869783, 0, 6, 1, 2, 2
53, 4165, 1.892677, 0, 6, 1, 2, 2
54, 3933, 2.024663, 0, 9, 1, 2, 3
55, 4132, 1.918199, 0, 9, 1, 2, 2
56, 4121, 1.916040, 0, 6, 1, 2, 2
57, 4012, 1.993270, 0, 8, 1, 2, 3
58, 4037, 1.967550, 0, 9, 1, 2, 2
59, 3984, 1.994729, 0, 8, 1, 2, 3
60, 23, 1.956522, 1, 3, 1, 2, 2
