time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3847, 2.093319, 0, 12, 1, 2, 3
1, 3713, 2.180986, 0, 8, 1, 2, 3
2, 3052, 2.749345, 0, 26, 1, 2, 3
3, 3682, 2.208311, 0, 16, 1, 2, 3
4, 3830, 2.096345, 0, 11, 1, 2, 3
5, 3733, 2.162336, 0, 18, 1, 2, 3
6, 3898, 2.057978, 0, 7, 1, 2, 3
7, 3968, 2.000252, 0, 7, 1, 2, 3
8, 4052, 1.962734, 0, 6, 1, 2, 2
9, 4032, 1.977431, 0, 6, 1, 2, 2
10, 3856, 2.084544, 0, 17, 1, 2, 3
11, 3959, 2.023238, 0, 6, 1, 2, 3
12, 3754, 2.158498, 0, 24, 1, 2, 3
13, 3962, 2.011610, 0, 6, 1, 2, 3
14, 3977, 2.003269, 0, 6, 1, 2, 3
15, 4061, 1.947796, 0, 7, 1, 2, 2
16, 3954, 2.007081, 0, 8, 1, 2, 3
17, 3823, 2.113785, 0, 7, 1, 2, 3
18, 3824, 2.094404, 0, 6, 1, 2, 3
19, 3096, 2.723191, 0, 62, 1, 2, 3
20, 3801, 2.117338, 0, 9, 1, 2, 3
21, 3893, 2.051117, 0, 6, 1, 2, 3
22, 3891, 2.057569, 0, 6, 1, 2, 3
23, 3855, 2.081193, 0, 7, 1, 2, 3
24, 3939, 2.029703, 0, 7, 1, 2, 3
25, 3819, 2.103168, 0, 6, 1, 2, 3
26, 3828, 2.101881, 0, 8, 1, 2, 3
27, 3633, 2.241674, 0, 71, 1, 2, 3
28, 3883, 2.067474, 0, 8, 1, 2, 3
29, 3999, 2.008002, 0, 7, 1, 2, 3
30, 3925, 2.039236, 0, 6, 1, 2, 3
31, 3895, 2.043389, 0, 7, 1, 2, 3
32, 3924, 2.041794, 0, 6, 1, 2, 3
33, 3742, 2.160609, 0, 22, 1, 2, 3
34, 3936, 2.026169, 0, 7, 1, 2, 3
35, 3873, 2.074619, 0, 12, 1, 2, 3
36, 3996, 1.992242, 0, 9, 1, 2, 3
37, 3898, 2.050795, 0, 54, 1, 2, 2
38, 4104, 1.921296, 0, 6, 1, 2, 2
39, 4202, 1.865064, 0, 6, 1, 2, 2
40, 4248, 1.841337, 0, 6, 1, 2, 2
41, 4125, 1.905455, 0, 7, 1, 2, 2
42, 4341, 1.798203, 0, 6, 1, 2, 2
43, 4396, 1.757962, 0, 5, 1, 2, 2
44, 4201, 1.870031, 0, 9, 1, 2, 2
45, 4358, 1.781322, 0, 6, 1, 2, 2
46, 3826, 2.107423, 0, 66, 1, 2, 2
47, 4099, 1.926323, 0, 7, 1, 2, 2
48, 3901, 2.057934, 0, 10, 1, 2, 3
49, 3985, 1.995232, 0, 7, 1, 2, 2
50, 3832, 2.099165, 0, 10, 1, 2, 3
51, 3952, 2.022773, 0, 6, 1, 2, 3
52, 4109, 1.924312, 0, 6, 1, 2, 2
53, 4051, 1.959022, 0, 6, 1, 2, 2
54, 3890, 2.045244, 0, 7, 1, 2, 3
55, 3903, 2.052524, 0, 11, 1, 2, 3
56, 3981, 2.003266, 0, 7, 1, 2, 3
57, 3858, 2.085018, 0, 10, 1, 2, 3
58, 3979, 2.006534, 0, 8, 1, 2, 3
59, 3971, 2.005288, 0, 8, 1, 2, 3
60, 3, 2.333333, 2, 3, 2, 2, 3
