time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3645, 2.228258, 0, 12, 1, 2, 3
1, 3513, 2.339596, 0, 13, 1, 2, 3
2, 3479, 2.354125, 0, 10, 1, 2, 3
3, 3109, 2.708266, 0, 15, 2, 2, 3
4, 3473, 2.366830, 0, 18, 1, 2, 3
5, 3840, 2.100000, 0, 7, 1, 2, 3
6, 3983, 1.990962, 0, 6, 1, 2, 2
7, 3736, 2.166756, 0, 75, 1, 2, 2
8, 3715, 2.172544, 0, 111, 1, 2, 2
9, 4079, 1.937485, 0, 9, 1, 2, 2
10, 4218, 1.867473, 0, 8, 1, 2, 2
11, 3995, 1.986733, 0, 11, 1, 2, 2
12, 4041, 1.958921, 0, 10, 1, 2, 2
13, 3996, 1.989489, 0, 10, 1, 2, 2
14, 4032, 1.973462, 0, 12, 1, 2, 2
15, 3998, 1.990495, 0, 12, 1, 2, 2
16, 4040, 1.956683, 0, 14, 1, 2, 2
17, 3857, 2.082447, 0, 12, 1, 2, 3
18, 3628, 2.224366, 0, 57, 1, 2, 3
19, 3824, 2.105387, 0, 18, 1, 2, 3
20, 3884, 2.049691, 0, 26, 1, 2, 2
21, 3785, 2.115984, 0, 10, 1, 2, 3
22, 3983, 1.998494, 0, 7, 1, 2, 2
23, 3917, 2.043656, 0, 7, 1, 2, 3
24, 3808, 2.108981, 0, 32, 1, 2, 3
25, 3882, 2.063627, 0, 14, 1, 2, 3
26, 3855, 2.085084, 0, 68, 1, 2, 2
27, 3919, 2.040316, 0, 25, 1, 2, 2
28, 4263, 1.844007, 0, 6, 1, 2, 2
29, 3971, 2.006044, 0, 19, 1, 2, 2
30, 4101, 1.917337, 0, 16, 1, 2, 2
31, 4069, 1.937577, 0, 12, 1, 2, 2
32, 4132, 1.912875, 0, 6, 1, 2, 2
33, 3910, 2.043990, 0, 9, 1, 2, 3
34, 3921, 2.043101, 0, 16, 1, 2, 3
35, 4045, 1.955006, 0, 17, 1, 2, 2
36, 3763, 2.138985, 0, 60, 1, 2, 2
37, 4147, 1.909091, 0, 15, 1, 2, 2
38, 4283, 1.826057, 0, 8, 1, 2, 2
39, 4268, 1.835052, 0, 7, 1, 2, 2
40, 4406, 1.756015, 0, 7, 1, 2, 2
41, 4447, 1.727682, 0, 7, 1, 2, 2
42, 4021, 1.974384, 0, 13, 1, 2, 2
43, 4205, 1.864209, 0, 8, 1, 2, 2
44, 4212, 1.866334, 0, 8, 1, 2, 2
45, 4075, 1.939632, 0, 15, 1, 2, 2
46, 4313, 1.806399, 0, 6, 1, 2, 2
47, 4342, 1.794565, 0, 5, 1, 2, 2
48, 3926, 2.018594, 0, 70, 1, 2, 2
49, 4190, 1.875179, 0, 8, 1, 2, 2
50, 4125, 1.920485, 0, 6, 1, 2, 2
51, 4099, 1.932910, 0, 6, 1, 2, 2
52, 3955, 2.013654, 0, 7, 1, 2, 2
53, 4184, 1.884082, 0, 7, 1, 2, 2
54, 4098, 1.929234, 0, 8, 1, 2, 2
55, 3369, 2.449095, 0, 12, 2, 2, 3
56, 4038, 1.954433, 0, 6, 1, 2, 2
57, 3804, 2.107781, 0, 14, 1, 2, 3
58, 4141, 1.902439, 0, 6, 1, 2, 2
59, 4358, 1.778568, 0, 6, 1, 2, 2
60, 22, 1.500000, 1, 2, 1, 1, 2
