time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6383, 1.101676, 0, 8, 1, 1, 1
1, 6421, 1.089706, 0, 8, 1, 1, 1
2, 6355, 1.102911, 0, 7, 1, 1, 1
3, 6323, 1.111814, 0, 6, 1, 1, 1
4, 6144, 1.156901, 0, 11, 1, 1, 1
5, 6493, 1.071154, 0, 5, 1, 1, 1
6, 6525, 1.056552, 0, 5, 1, 1, 1
7, 6407, 1.090214, 0, 6, 1, 1, 1
8, 6556, 1.064979, 0, 6, 1, 1, 1
9, 6488, 1.056412, 0, 7, 1, 1, 1
10, 5502, 1.315885, 0, 52, 1, 1, 1
11, 4915, 1.505392, 0, 24, 1, 1, 2
12, 5978, 1.204583, 0, 24, 1, 1, 1
13, 6093, 1.162317, 0, 12, 1, 1, 1
14, 5724, 1.283019, 0, 81, 1, 1, 1
15, 6046, 1.196990, 0, 64, 1, 1, 1
16, 6526, 1.061293, 0, 7, 1, 1, 1
17, 6448, 1.063896, 0, 10, 1, 1, 1
18, 6409, 1.091902, 0, 8, 1, 1, 1
19, 6448, 1.063120, 0, 6, 1, 1, 1
20, 6353, 1.101999, 0, 8, 1, 1, 1
21, 6390, 1.100626, 0, 6, 1, 1, 1
22, 6094, 1.175254, 0, 60, 1, 1, 1
23, 6490, 1.071341, 0, 8, 1, 1, 1
24, 6397, 1.098953, 0, 8, 1, 1, 1
25, 6451, 1.088048, 0, 6, 1, 1, 1
26, 6296, 1.124206, 0, 7, 1, 1, 1
27, 6258, 1.120805, 0, 9, 1, 1, 1
28, 6313, 1.107556, 0, 8, 1, 1, 1
29, 6305, 1.114036, 0, 13, 1, 1, 1
30, 5954, 1.208935, 0, 80, 1, 1, 1
31, 6203, 1.134451, 0, 8, 1, 1, 1
32, 6480, 1.066821, 0, 9, 1, 1, 1
33, 6336, 1.108902, 0, 8, 1, 1, 1
34, 6243, 1.129105, 0, 12, 1, 1, 1
35, 6217, 1.135596, 0, 11, 1, 1, 1
36, 6268, 1.116624, 0, 11, 1, 1, 1
37, 6422, 1.080972, 0, 5, 1, 1, 1
38, 6545, 1.068755, 0, 11, 1, 1, 1
39, 6310, 1.115214, 0, 15, 1, 1, 1
40, 6358, 1.095470, 0, 15, 1, 1, 1
41, 6457, 1.072479, 0, 6, 1, 1, 1
42, 5654, 1.282985, 0, 106, 1, 1, 1
43, 6528, 1.055453, 0, 8, 1, 1, 1
44, 6575, 1.049886, 0, 4, 1, 1, 1
45, 6426, 1.084812, 0, 13, 1, 1, 1
46, 6350, 1.105827, 0, 14, 1, 1, 1
47, 6381, 1.093402, 0, 10, 1, 1, 1
48, 6180, 1.146117, 0, 14, 1, 1, 1
49, 6423, 1.088432, 0, 7, 1, 1, 1
50, 6398, 1.076430, 0, 14, 1, 1, 1
51, 6561, 1.065234, 0, 5, 1, 1, 1
52, 6442, 1.078392, 0, 18, 1, 1, 1
53, 6578, 1.055032, 0, 16, 1, 1, 1
54, 6476, 1.096356, 0, 5, 1, 1, 1
55, 6173, 1.075490, 0, 6, 1, 1, 1
56, 6067, 1.261414, 0, 120, 1, 1, 1
57, 6456, 1.078996, 0, 5, 1, 1, 1
58, 6603, 1.044677, 0, 14, 1, 1, 1
59, 6641, 1.045626, 0, 6, 1, 1, 1
60, 37, 1.027027, 0, 3, 1, 1, 1
