time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4190, 11.410501, 0, 31, 8, 11, 14
1, 4288, 11.114506, 0, 37, 8, 11, 14
2, 4206, 11.337375, 0, 33, 8, 11, 14
3, 4332, 11.054478, 0, 40, 8, 11, 14
4, 4115, 11.588821, 0, 44, 8, 11, 14
5, 4091, 11.711073, 0, 39, 8, 11, 14
6, 4007, 11.920389, 0, 35, 9, 12, 14
7, 3643, 13.175130, 0, 52, 9, 12, 16
8, 4077, 11.739514, 0, 39, 9, 11, 14
9, 3677, 13.036443, 0, 49, 9, 12, 16
10, 4244, 11.261310, 0, 36, 8, 11, 14
11, 3932, 12.178535, 0, 45, 8, 12, 15
12, 3923, 12.202141, 0, 51, 8, 11, 15
13, 3675, 13.025034, 0, 52, 9, 12, 16
14, 3784, 12.681818, 1, 51, 9, 12, 15
15, 3877, 12.368068, 0, 47, 9, 12, 15
16, 4054, 11.776024, 1, 40, 9, 11, 14
17, 3356, 14.197855, 0, 118, 9, 12, 16
18, 2556, 19.181534, 0, 82, 11, 17, 26
19, 3840, 12.476042, 0, 60, 9, 12, 15
20, 3987, 11.984951, 0, 43, 9, 11, 15
21, 4098, 11.679600, 1, 34, 8, 11, 14
22, 4135, 11.544135, 0, 34, 9, 11, 14
23, 4092, 11.713587, 0, 46, 8, 11, 14
24, 4039, 11.809606, 0, 40, 9, 11, 14
25, 3844, 12.414152, 1, 97, 8, 11, 14
26, 4274, 11.175246, 0, 38, 8, 11, 14
27, 4217, 11.344321, 1, 36, 8, 11, 14
28, 4057, 11.764358, 0, 37, 8, 11, 15
29, 4067, 11.790263, 0, 46, 9, 11, 14
30, 4212, 11.322887, 0, 36, 8, 11, 14
31, 4124, 11.566440, 0, 35, 9, 11, 14
32, 4134, 11.559990, 0, 41, 9, 11, 14
33, 4081, 11.739525, 1, 34, 9, 11, 14
34, 3909, 12.230238, 0, 75, 9, 11, 15
35, 3745, 12.833111, 0, 86, 9, 12, 15
36, 3589, 13.313736, 0, 66, 9, 12, 16
37, 3515, 13.704125, 0, 48, 10, 13, 17
38, 3788, 12.672122, 0, 68, 9, 12, 16
39, 3679, 13.065507, 0, 50, 10, 12, 16
40, 3621, 13.242751, 0, 52, 9, 13, 16
41, 3304, 14.552361, 0, 50, 10, 13, 18
42, 3893, 12.287182, 0, 41, 9, 12, 15
43, 3844, 12.484651, 0, 54, 9, 12, 15
44, 3956, 12.138271, 0, 52, 9, 11, 15
45, 3415, 14.057687, 1, 60, 9, 12, 17
46, 3899, 12.293409, 0, 58, 9, 11, 15
47, 4161, 11.499880, 0, 37, 8, 11, 14
48, 3927, 12.225872, 0, 40, 9, 12, 15
49, 3918, 12.187851, 0, 97, 8, 11, 14
50, 4073, 11.732384, 0, 45, 8, 11, 14
51, 4018, 11.904181, 0, 45, 9, 12, 14
52, 3960, 12.104293, 0, 47, 9, 11, 15
53, 4200, 11.354524, 0, 31, 8, 11, 14
54, 4127, 11.565786, 0, 43, 8, 11, 14
55, 3970, 12.055919, 0, 44, 9, 11, 15
56, 4105, 11.649452, 0, 47, 8, 11, 14
57, 4017, 11.914115, 0, 35, 9, 11, 15
58, 3766, 12.711099, 0, 42, 9, 12, 15
59, 4066, 11.777177, 0, 49, 8, 11, 14
60, 13, 10.461538, 4, 18, 7, 9, 15
