time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 4261, 1.829148, 0, 7, 1, 2, 2
1, 4020, 1.976119, 0, 9, 1, 2, 2
2, 4241, 1.849564, 0, 8, 1, 2, 2
3, 4276, 1.824836, 0, 6, 1, 2, 2
4, 4238, 1.842378, 0, 6, 1, 2, 2
5, 4282, 1.825082, 0, 7, 1, 2, 2
6, 4156, 1.895573, 0, 7, 1, 2, 2
7, 3615, 2.256432, 0, 20, 1, 2, 3
8, 4472, 1.725626, 0, 7, 1, 2, 2
9, 4429, 1.749605, 0, 7, 1, 2, 2
10, 4066, 1.941220, 0, 11, 1, 2, 2
11, 4040, 1.963614, 0, 8, 1, 2, 2
12, 4085, 1.941493, 0, 13, 1, 2, 2
13, 4296, 1.816574, 0, 7, 1, 2, 2
14, 4144, 1.890685, 0, 7, 1, 2, 2
15, 4410, 1.746712, 0, 6, 1, 2, 2
16, 4210, 1.871259, 0, 10, 1, 2, 2
17, 2956, 2.847429, 0, 50, 1, 2, 3
18, 3661, 2.218246, 0, 7, 1, 2, 3
19, 3847, 2.091240, 0, 7, 1, 2, 3
20, 3819, 2.095837, 0, 9, 1, 2, 3
21, 4189, 1.873478, 0, 6, 1, 2, 2
22, 4418, 1.754640, 0, 9, 1, 2, 2
23, 4042, 1.954231, 0, 12, 1, 2, 2
24, 3920, 2.018622, 0, 84, 1, 2, 2
25, 4087, 1.939809, 0, 9, 1, 2, 2
26, 4174, 1.888356, 0, 6, 1, 2, 2
27, 4152, 1.894990, 0, 9, 1, 2, 2
28, 4169, 1.883185, 0, 13, 1, 2, 2
29, 4104, 1.930068, 0, 9, 1, 2, 2
30, 3975, 1.994717, 0, 11, 1, 2, 2
31, 3598, 2.268760, 0, 10, 1, 2, 3
32, 3920, 2.041837, 0, 6, 1, 2, 3
33, 3869, 2.070044, 0, 14, 1, 2, 3
34, 3947, 2.024322, 0, 6, 1, 2, 3
35, 3730, 2.169437, 0, 64, 1, 2, 3
36, 4078, 1.940902, 0, 7, 1, 2, 2
37, 4176, 1.891762, 0, 6, 1, 2, 2
38, 4116, 1.912779, 0, 20, 1, 2, 2
39, 3958, 2.016928, 0, 15, 1, 2, 2
40, 4004, 1.983766, 0, 16, 1, 2, 2
41, 4194, 1.874106, 0, 8, 1, 2, 2
42, 4287, 1.833450, 0, 6, 1, 2, 2
43, 4301, 1.819809, 0, 10, 1, 2, 2
44, 4212, 1.867996, 0, 6, 1, 2, 2
45, 3972, 1.979859, 0, 69, 1, 2, 2
46, 4129, 1.910390, 0, 8, 1, 2, 2
47, 4278, 1.833100, 0, 7, 1, 2, 2
48, 4281, 1.818500, 0, 6, 1, 2, 2
49, 4135, 1.907860, 0, 10, 1, 2, 2
50, 4334, 1.791417, 0, 10, 1, 2, 2
51, 4229, 1.847482, 0, 7, 1, 2, 2
52, 4224, 1.856534, 0, 6, 1, 2, 2
53, 4247, 1.840122, 0, 6, 1, 2, 2
54, 4177, 1.876466, 0, 7, 1, 2, 2
55, 3882, 2.061051, 0, 17, 1, 2, 2
56, 3863, 2.083355, 0, 26, 1, 2, 3
57, 3794, 2.124671, 0, 98, 1, 2, 2
58, 4342, 1.796177, 0, 15, 1, 2, 2
59, 4214, 1.861889, 0, 10, 1, 2, 2
60, 4, 2.000000, 2, 2, 2, 2, 2
