time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 3558, 2.295672, 0, 12, 2, 2, 3
1, 4055, 1.948212, 0, 6, 1, 2, 2
2, 4156, 1.898219, 0, 6, 1, 2, 2
3, 4201, 1.867413, 0, 6, 1, 2, 2
4, 4169, 1.879348, 0, 6, 1, 2, 2
5, 4187, 1.874851, 0, 10, 1, 2, 2
6, 4160, 1.896394, 0, 6, 1, 2, 2
7, 4187, 1.871746, 0, 6, 1, 2, 2
8, 4192, 1.877147, 0, 6, 1, 2, 2
9, 4133, 1.907573, 0, 10, 1, 2, 2
10, 3972, 2.007553, 0, 19, 1, 2, 2
11, 4009, 1.986281, 0, 6, 1, 2, 2
12, 4102, 1.931009, 0, 6, 1, 2, 2
13, 4189, 1.866317, 0, 14, 1, 2, 2
14, 4318, 1.802223, 0, 6, 1, 2, 2
15, 4024, 1.975646, 0, 13, 1, 2, 2
16, 4036, 1.957879, 0, 23, 1, 2, 2
17, 4094, 1.929409, 0, 20, 1, 2, 2
18, 3467, 2.369772, 0, 50, 1, 2, 3
19, 4160, 1.889423, 0, 7, 1, 2, 2
20, 4036, 1.967790, 0, 7, 1, 2, 2
21, 4107, 1.923302, 0, 7, 1, 2, 2
22, 4179, 1.877483, 0, 8, 1, 2, 2
23, 4148, 1.897300, 0, 6, 1, 2, 2
24, 3924, 2.032620, 0, 19, 1, 2, 2
25, 3868, 2.069804, 0, 66, 1, 2, 2
26, 4155, 1.886161, 0, 8, 1, 2, 2
27, 4147, 1.902098, 0, 14, 1, 2, 2
28, 4158, 1.888648, 0, 6, 1, 2, 2
29, 4305, 1.818583, 0, 6, 1, 2, 2
30, 4128, 1.926114, 0, 7, 1, 2, 2
31, 3929, 2.028506, 0, 7, 1, 2, 3
32, 4154, 1.895763, 0, 6, 1, 2, 2
33, 4152, 1.884634, 0, 6, 1, 2, 2
34, 3884, 2.068744, 0, 58, 1, 2, 2
35, 4101, 1.926847, 0, 8, 1, 2, 2
36, 4083, 1.940485, 0, 7, 1, 2, 2
37, 4084, 1.932909, 0, 8, 1, 2, 2
38, 4091, 1.934979, 0, 7, 1, 2, 2
39, 4194, 1.876013, 0, 8, 1, 2, 2
40, 4039, 1.959891, 0, 12, 1, 2, 2
41, 3715, 2.179004, 0, 6, 1, 2, 3
42, 3883, 2.072109, 0, 10, 1, 2, 3
43, 3547, 2.307020, 0, 20, 1, 2, 3
44, 3934, 2.033045, 0, 72, 1, 2, 2
45, 4028, 1.961768, 0, 12, 1, 2, 2
46, 4189, 1.866078, 0, 5, 1, 2, 2
47, 4183, 1.879512, 0, 17, 1, 2, 2
48, 4083, 1.936811, 0, 6, 1, 2, 2
49, 4106, 1.916220, 0, 6, 1, 2, 2
50, 3371, 2.453871, 0, 13, 1, 2, 3
51, 3918, 2.034967, 0, 8, 1, 2, 3
52, 4096, 1.925537, 0, 7, 1, 2, 2
53, 3988, 1.996239, 0, 11, 1, 2, 2
54, 3977, 1.993211, 0, 18, 1, 2, 2
55, 4127, 1.911558, 0, 7, 1, 2, 2
56, 4352, 1.784467, 0, 7, 1, 2, 2
57, 3957, 2.008340, 0, 72, 1, 2, 2
58, 4188, 1.875836, 0, 7, 1, 2, 2
59, 3784, 2.122093, 0, 9, 1, 2, 3
60, 4, 1.250000, 1, 2, 1, 1, 1
