time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6432, 1.069652, 0, 5, 1, 1, 1
1, 6624, 1.028382, 0, 5, 1, 1, 1
2, 6614, 1.034019, 0, 5, 1, 1, 1
3, 6595, 1.044882, 0, 5, 1, 1, 1
4, 6665, 1.019505, 0, 6, 1, 1, 1
5, 6696, 1.015084, 0, 5, 1, 1, 1
6, 6459, 1.071218, 0, 7, 1, 1, 1
7, 6523, 1.067300, 0, 6, 1, 1, 1
8, 6448, 1.071805, 0, 9, 1, 1, 1
9, 6378, 1.097993, 0, 16, 1, 1, 1
10, 5245, 1.394471, 0, 51, 1, 1, 1
11, 6271, 1.089938, 0, 13, 1, 1, 1
12, 6616, 1.046252, 0, 4, 1, 1, 1
13, 6477, 1.076115, 0, 5, 1, 1, 1
14, 6510, 1.060983, 0, 5, 1, 1, 1
15, 6042, 1.185038, 0, 81, 1, 1, 1
16, 6564, 1.047532, 0, 6, 1, 1, 1
17, 6668, 1.028944, 0, 5, 1, 1, 1
18, 6656, 1.025391, 0, 6, 1, 1, 1
19, 6571, 1.061330, 0, 16, 1, 1, 1
20, 6510, 1.054071, 0, 7, 1, 1, 1
21, 6317, 1.117144, 0, 62, 1, 1, 1
22, 6645, 1.041234, 0, 7, 1, 1, 1
23, 6589, 1.036880, 0, 8, 1, 1, 1
24, 6545, 1.062032, 0, 7, 1, 1, 1
25, 6352, 1.101543, 0, 9, 1, 1, 1
26, 6119, 1.154927, 0, 13, 1, 1, 1
27, 6199, 1.145185, 0, 10, 1, 1, 1
28, 6258, 1.127836, 0, 9, 1, 1, 1
29, 6156, 1.145549, 0, 10, 1, 1, 1
30, 5921, 1.219051, 0, 79, 1, 1, 1
31, 6500, 1.069846, 0, 5, 1, 1, 1
32, 6401, 1.090142, 0, 11, 1, 1, 1
33, 6191, 1.136973, 0, 8, 1, 1, 1
34, 6175, 1.147206, 0, 14, 1, 1, 1
35, 6185, 1.130800, 0, 7, 1, 1, 1
36, 6268, 1.116146, 0, 9, 1, 1, 1
37, 6374, 1.090053, 0, 13, 1, 1, 1
38, 6347, 1.101623, 0, 14, 1, 1, 1
39, 6361, 1.098098, 0, 18, 1, 1, 1
40, 6164, 1.156879, 0, 12, 1, 1, 1
41, 5584, 1.307307, 0, 110, 1, 1, 1
42, 6352, 1.109099, 0, 9, 1, 1, 1
43, 6476, 1.066708, 0, 7, 1, 1, 1
44, 6351, 1.102504, 0, 12, 1, 1, 1
45, 6496, 1.077586, 0, 6, 1, 1, 1
46, 6333, 1.112743, 0, 12, 1, 1, 1
47, 6058, 1.173325, 0, 18, 1, 1, 1
48, 6101, 1.167677, 0, 12, 1, 1, 1
49, 5935, 1.210615, 0, 19, 1, 1, 1
50, 6429, 1.089127, 0, 4, 1, 1, 1
51, 6436, 1.083903, 0, 16, 1, 1, 1
52, 6520, 1.064417, 0, 6, 1, 1, 1
53, 6180, 1.149029, 0, 20, 1, 1, 1
54, 6342, 1.115421, 0, 5, 1, 1, 1
55, 6141, 1.154372, 0, 18, 1, 1, 1
56, 6458, 1.078662, 0, 6, 1, 1, 1
57, 5230, 1.460038, 0, 195, 1, 1, 1
58, 6394, 1.099625, 0, 6, 1, 1, 1
59, 6523, 1.069293, 0, 4, 1, 1, 1
60, 7, 1.000000, 0, 2, 0, 1, 2
