time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6251, 1.132299, 0, 6, 1, 1, 1
1, 6315, 1.126049, 0, 5, 1, 1, 1
2, 6233, 1.133644, 0, 5, 1, 1, 1
3, 5812, 1.248107, 0, 12, 1, 1, 1
4, 5596, 1.292530, 0, 20, 1, 1, 2
5, 6219, 1.136517, 0, 5, 1, 1, 1
6, 6084, 1.167488, 0, 6, 1, 1, 1
7, 6310, 1.116323, 0, 5, 1, 1, 1
8, 6162, 1.152548, 0, 5, 1, 1, 1
9, 5303, 1.384311, 0, 20, 1, 1, 2
10, 5778, 1.247664, 0, 10, 1, 1, 2
11, 4495, 1.708120, 0, 54, 1, 1, 2
12, 5221, 1.414097, 0, 10, 1, 1, 2
13, 5542, 1.208950, 0, 12, 1, 1, 1
14, 5977, 1.301656, 0, 94, 1, 1, 1
15, 6351, 1.099354, 0, 5, 1, 1, 1
16, 5893, 1.230443, 0, 68, 1, 1, 1
17, 6261, 1.114359, 0, 5, 1, 1, 1
18, 6215, 1.130491, 0, 7, 1, 1, 1
19, 6287, 1.118976, 0, 4, 1, 1, 1
20, 6170, 1.136791, 0, 6, 1, 1, 1
21, 6147, 1.154222, 0, 5, 1, 1, 1
22, 6004, 1.192039, 0, 57, 1, 1, 1
23, 6296, 1.114041, 0, 8, 1, 1, 1
24, 6139, 1.152305, 0, 11, 1, 1, 1
25, 6323, 1.121303, 0, 5, 1, 1, 1
26, 6257, 1.135049, 0, 7, 1, 1, 1
27, 6271, 1.119439, 0, 7, 1, 1, 1
28, 6071, 1.180860, 0, 7, 1, 1, 1
29, 6218, 1.131714, 0, 7, 1, 1, 1
30, 6127, 1.157826, 0, 7, 1, 1, 1
31, 6279, 1.128205, 0, 7, 1, 1, 1
32, 5867, 1.234191, 0, 76, 1, 1, 1
33, 6258, 1.126398, 0, 6, 1, 1, 1
34, 6324, 1.110531, 0, 8, 1, 1, 1
35, 6266, 1.131025, 0, 10, 1, 1, 1
36, 6384, 1.109336, 0, 7, 1, 1, 1
37, 6283, 1.125418, 0, 10, 1, 1, 1
38, 6186, 1.150663, 0, 11, 1, 1, 1
39, 6190, 1.132149, 0, 7, 1, 1, 1
40, 5981, 1.197960, 0, 20, 1, 1, 1
41, 6227, 1.139875, 0, 5, 1, 1, 1
42, 6085, 1.161052, 0, 15, 1, 1, 1
43, 4423, 1.774361, 0, 117, 1, 1, 2
44, 5401, 1.357156, 0, 20, 1, 1, 2
45, 3043, 2.726257, 0, 85, 1, 2, 3
46, 4244, 1.831291, 0, 14, 1, 1, 2
47, 3178, 2.578666, 0, 29, 1, 1, 3
48, 4505, 1.721643, 0, 21, 1, 1, 2
49, 5784, 1.238762, 0, 8, 1, 1, 2
50, 5190, 1.431599, 0, 20, 1, 1, 2
51, 6041, 1.172985, 0, 13, 1, 1, 1
52, 6340, 1.103470, 0, 5, 1, 1, 1
53, 6236, 1.133900, 0, 13, 1, 1, 1
54, 6299, 1.127322, 0, 8, 1, 1, 1
55, 6270, 1.117384, 0, 13, 1, 1, 1
56, 6323, 1.115926, 0, 5, 1, 1, 1
57, 6290, 1.120032, 0, 13, 1, 1, 1
58, 5805, 1.248579, 0, 16, 1, 1, 1
59, 6263, 1.123264, 0, 16, 1, 1, 1
60, 26, 1.076923, 0, 3, 1, 1, 1
