time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6108, 1.156843, 0, 11, 1, 1, 1
1, 6256, 1.110294, 0, 8, 1, 1, 1
2, 6172, 1.127835, 0, 18, 1, 1, 1
3, 6063, 1.169388, 0, 5, 1, 1, 1
4, 6097, 1.168443, 0, 5, 1, 1, 1
5, 6090, 1.160427, 0, 5, 1, 1, 1
6, 6131, 1.158212, 0, 6, 1, 1, 1
7, 6233, 1.136852, 0, 11, 1, 1, 1
8, 6029, 1.180793, 0, 10, 1, 1, 1
9, 6131, 1.148915, 0, 6, 1, 1, 1
10, 5883, 1.207717, 0, 15, 1, 1, 1
11, 4601, 1.648120, 0, 57, 1, 1, 2
12, 5723, 1.248646, 0, 10, 1, 1, 2
13, 6033, 1.188298, 0, 5, 1, 1, 1
14, 6142, 1.156464, 0, 5, 1, 1, 1
15, 6100, 1.167869, 0, 6, 1, 1, 1
16, 5877, 1.215076, 0, 72, 1, 1, 1
17, 6314, 1.108014, 0, 5, 1, 1, 1
18, 6158, 1.145015, 0, 5, 1, 1, 1
19, 5593, 1.318970, 0, 94, 1, 1, 1
20, 5791, 1.245899, 0, 21, 1, 1, 1
21, 5043, 1.487012, 0, 115, 1, 1, 1
22, 4420, 1.765158, 0, 74, 1, 1, 2
23, 6077, 1.171466, 0, 8, 1, 1, 1
24, 6185, 1.144382, 0, 6, 1, 1, 1
25, 6129, 1.162017, 0, 6, 1, 1, 1
26, 6107, 1.164074, 0, 7, 1, 1, 1
27, 5839, 1.216989, 0, 10, 1, 1, 1
28, 5373, 1.361437, 0, 10, 1, 1, 2
29, 4956, 1.496368, 0, 10, 1, 1, 2
30, 4659, 1.619661, 0, 9, 1, 1, 2
31, 4520, 1.687611, 0, 12, 1, 1, 2
32, 4513, 1.694217, 0, 5, 1, 2, 2
33, 3775, 2.117086, 0, 102, 1, 2, 2
34, 4307, 1.798235, 0, 8, 1, 2, 2
35, 4314, 1.792304, 0, 11, 1, 2, 2
36, 4185, 1.868817, 0, 14, 1, 2, 2
37, 4360, 1.764220, 0, 21, 1, 2, 2
38, 4628, 1.627701, 0, 9, 1, 1, 2
39, 4821, 1.557768, 0, 10, 1, 1, 2
40, 5029, 1.480414, 0, 12, 1, 1, 2
41, 5268, 1.391230, 0, 12, 1, 1, 2
42, 5635, 1.279326, 0, 12, 1, 1, 2
43, 5686, 1.265740, 0, 11, 1, 1, 1
44, 5831, 1.229635, 0, 9, 1, 1, 1
45, 5961, 1.201812, 0, 14, 1, 1, 1
46, 6106, 1.167049, 0, 9, 1, 1, 1
47, 6103, 1.157955, 0, 6, 1, 1, 1
48, 5540, 1.336823, 0, 108, 1, 1, 1
49, 6175, 1.146397, 0, 7, 1, 1, 1
50, 6045, 1.176675, 0, 9, 1, 1, 1
51, 5959, 1.189629, 0, 11, 1, 1, 1
52, 5907, 1.213645, 0, 9, 1, 1, 1
53, 5661, 1.276453, 0, 15, 1, 1, 2
54, 5641, 1.276015, 0, 5, 1, 1, 2
55, 5397, 1.349083, 0, 19, 1, 1, 2
56, 5456, 1.313416, 0, 5, 1, 1, 2
57, 5371, 1.363247, 0, 14, 1, 1, 2
58, 5215, 1.395206, 0, 7, 1, 1, 2
59, 5145, 1.417881, 0, 17, 1, 1, 2
60, 6, 1.500000, 1, 2, 1, 1, 2
