time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 5061, 1.467892, 0, 12, 1, 1, 2
1, 5133, 1.429184, 0, 7, 1, 1, 2
2, 5227, 1.398508, 0, 6, 1, 1, 2
3, 5222, 1.392953, 0, 6, 1, 1, 2
4, 5177, 1.412594, 0, 7, 1, 1, 2
5, 5175, 1.419903, 0, 6, 1, 1, 2
6, 5169, 1.426968, 0, 12, 1, 1, 2
7, 5148, 1.435897, 0, 12, 1, 1, 2
8, 5263, 1.385332, 0, 5, 1, 1, 2
9, 5317, 1.380478, 0, 6, 1, 1, 2
10, 4624, 1.665009, 0, 90, 1, 1, 2
11, 5321, 1.370607, 0, 5, 1, 1, 2
12, 3449, 2.367643, 0, 43, 1, 2, 3
13, 4613, 1.634511, 0, 34, 1, 1, 2
14, 5116, 1.453088, 0, 7, 1, 1, 2
15, 4954, 1.509285, 0, 7, 1, 1, 2
16, 5112, 1.442097, 0, 6, 1, 1, 2
17, 4946, 1.498383, 0, 65, 1, 1, 2
18, 5148, 1.434343, 0, 7, 1, 1, 2
19, 5206, 1.412217, 0, 5, 1, 1, 2
20, 4726, 1.586754, 0, 15, 1, 1, 2
21, 5009, 1.465961, 0, 16, 1, 1, 2
22, 5107, 1.441942, 0, 7, 1, 1, 2
23, 5066, 1.473747, 0, 8, 1, 1, 2
24, 4866, 1.549938, 0, 53, 1, 1, 2
25, 4825, 1.552332, 0, 10, 1, 1, 2
26, 5117, 1.434043, 0, 12, 1, 1, 2
27, 5359, 1.347639, 0, 7, 1, 1, 2
28, 5293, 1.366711, 0, 6, 1, 1, 2
29, 5221, 1.415438, 0, 8, 1, 1, 2
30, 4845, 1.549845, 0, 19, 1, 1, 2
31, 4745, 1.594099, 0, 94, 1, 1, 2
32, 5154, 1.429763, 0, 10, 1, 1, 2
33, 5223, 1.401876, 0, 8, 1, 1, 2
34, 4956, 1.510694, 0, 72, 1, 1, 2
35, 5254, 1.393795, 0, 6, 1, 1, 2
36, 5150, 1.432039, 0, 7, 1, 1, 2
37, 5185, 1.422372, 0, 9, 1, 1, 2
38, 5126, 1.440694, 0, 12, 1, 1, 2
39, 5296, 1.368391, 0, 5, 1, 1, 2
40, 5113, 1.441228, 0, 9, 1, 1, 2
41, 4776, 1.570142, 0, 12, 1, 1, 2
42, 5048, 1.489303, 0, 9, 1, 1, 2
43, 5276, 1.414708, 0, 6, 1, 1, 2
44, 5219, 1.417705, 0, 11, 1, 1, 2
45, 5292, 1.378874, 0, 9, 1, 1, 2
46, 5367, 1.361655, 0, 9, 1, 1, 2
47, 5417, 1.339487, 0, 5, 1, 1, 2
48, 4893, 1.537707, 0, 90, 1, 1, 2
49, 5272, 1.393399, 0, 9, 1, 1, 2
50, 5186, 1.420170, 0, 9, 1, 1, 2
51, 5343, 1.365151, 0, 7, 1, 1, 2
52, 5444, 1.325496, 0, 6, 1, 1, 2
53, 5241, 1.404312, 0, 23, 1, 1, 2
54, 5166, 1.426829, 0, 15, 1, 1, 2
55, 5280, 1.383144, 0, 13, 1, 1, 2
56, 5059, 1.457798, 0, 27, 1, 1, 2
57, 5245, 1.394090, 0, 10, 1, 1, 2
58, 5248, 1.389672, 0, 17, 1, 1, 2
59, 4891, 1.523206, 0, 8, 1, 1, 2
60, 15, 1.533333, 0, 3, 1, 1, 2
