time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 205, 9.209756, 4, 15, 8, 9, 10
1, 206, 9.199029, 4, 15, 8, 9, 11
2, 206, 9.262136, 4, 15, 8, 9, 11
3, 190, 9.994737, 5, 15, 8, 10, 11
4, 192, 9.885417, 5, 17, 8, 10, 12
5, 199, 9.577889, 5, 16, 8, 9, 11
6, 208, 9.134615, 5, 19, 8, 9, 11
7, 199, 9.457286, 4, 17, 8, 9, 11
8, 202, 9.435644, 5, 26, 8, 9, 11
9, 200, 9.510000, 5, 16, 8, 9, 11
10, 199, 9.482412, 5, 18, 8, 9, 11
11, 195, 9.784615, 5, 27, 8, 10, 11
12, 195, 9.764103, 4, 18, 8, 10, 11
13, 207, 9.125604, 4, 14, 8, 9, 10
14, 197, 9.598985, 5, 18, 8, 9, 11
15, 204, 9.303922, 4, 17, 8, 9, 11
16, 213, 8.859155, 4, 16, 7, 9, 11
17, 198, 9.611111, 5, 16, 8, 10, 11
18, 199, 9.537688, 5, 18, 8, 9, 11
19, 160, 11.718750, 6, 64, 9, 11, 13
20, 140, 14.000000, 5, 74, 9, 12, 15
21, 140, 13.828571, 5, 91, 9, 11, 13
22, 126, 15.222222, 5, 165, 8, 11, 13
23, 158, 12.240506, 4, 33, 9, 11, 14
24, 146, 13.143836, 5, 35, 9, 12, 16
25, 179, 10.670391, 4, 21, 8, 10, 12
26, 181, 10.563536, 5, 21, 9, 10, 12
27, 183, 10.453552, 5, 17, 9, 10, 12
28, 187, 10.176471, 5, 22, 8, 10, 12
29, 191, 9.968586, 6, 19, 8, 10, 11
30, 142, 13.528169, 6, 99, 9, 11, 13
31, 183, 10.459016, 5, 28, 9, 10, 12
32, 185, 10.291892, 5, 17, 9, 10, 12
33, 177, 10.796610, 6, 16, 9, 11, 13
34, 179, 10.659218, 5, 29, 9, 10, 12
35, 190, 10.015789, 5, 18, 8, 10, 11
36, 179, 10.664804, 5, 19, 9, 10, 12
37, 180, 10.577778, 5, 17, 9, 11, 12
38, 189, 9.962963, 5, 16, 8, 10, 11
39, 175, 11.102857, 5, 29, 9, 11, 12
40, 182, 10.417582, 5, 30, 8, 10, 11
41, 180, 10.605556, 4, 17, 9, 11, 12
42, 172, 11.104651, 5, 24, 9, 11, 13
43, 184, 10.380435, 4, 19, 9, 10, 12
44, 181, 10.580110, 5, 30, 8, 10, 12
45, 172, 11.034884, 5, 34, 9, 11, 13
46, 192, 9.916667, 4, 16, 8, 10, 12
47, 178, 10.719101, 5, 19, 9, 11, 12
48, 184, 10.336957, 5, 16, 9, 10, 12
49, 172, 11.069767, 5, 23, 9, 11, 13
50, 192, 9.875000, 5, 16, 9, 10, 11
51, 182, 10.565934, 6, 25, 9, 10, 12
52, 191, 9.910995, 5, 17, 8, 10, 12
53, 159, 12.088050, 6, 52, 9, 11, 13
54, 199, 9.562814, 5, 19, 8, 10, 11
55, 185, 10.275676, 5, 17, 9, 10, 12
56, 190, 10.078947, 5, 19, 8, 10, 11
57, 190, 10.031579, 5, 18, 8, 10, 12
58, 190, 10.094737, 5, 16, 9, 10, 12
59, 179, 10.664804, 4, 22, 8, 10, 13
