time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 167, 11.431138, 3, 22, 10, 11, 13
1, 173, 10.965318, 3, 20, 9, 11, 13
2, 174, 11.028736, 2, 25, 9, 11, 13
3, 172, 11.215116, 4, 26, 9, 10, 13
4, 178, 10.634831, 3, 21, 9, 11, 13
5, 177, 10.813559, 5, 30, 8, 10, 13
6, 176, 10.806818, 3, 20, 9, 11, 13
7, 170, 11.252941, 6, 31, 9, 11, 13
8, 173, 11.080925, 5, 24, 9, 11, 13
9, 173, 11.069364, 5, 22, 9, 11, 13
10, 163, 11.779141, 4, 25, 10, 12, 14
11, 169, 11.337278, 3, 23, 9, 11, 13
12, 170, 11.247059, 3, 27, 9, 11, 13
13, 130, 14.723077, 5, 50, 9, 11, 15
14, 167, 11.592814, 3, 31, 9, 11, 13
15, 184, 10.375000, 2, 25, 9, 10, 12
16, 183, 10.459016, 2, 21, 8, 10, 12
17, 182, 10.445055, 4, 25, 9, 10, 12
18, 194, 9.809278, 3, 24, 8, 9, 11
19, 187, 10.203209, 3, 22, 8, 10, 12
20, 189, 10.095238, 4, 22, 8, 10, 12
21, 192, 9.979167, 4, 21, 8, 10, 11
22, 188, 10.132979, 5, 22, 8, 10, 12
23, 186, 10.204301, 3, 28, 8, 10, 12
24, 163, 11.797546, 4, 40, 9, 11, 13
25, 166, 11.493976, 2, 32, 9, 11, 13
26, 118, 16.330508, 6, 56, 10, 13, 18
27, 136, 14.345588, 6, 44, 10, 12, 16
28, 176, 10.812500, 2, 24, 8, 11, 13
29, 173, 11.040462, 5, 23, 9, 11, 12
30, 179, 10.620112, 4, 18, 9, 10, 12
31, 162, 11.851852, 5, 21, 10, 12, 13
32, 176, 10.852273, 4, 29, 9, 10, 13
33, 173, 11.017341, 4, 18, 9, 11, 13
34, 168, 11.363095, 6, 34, 9, 11, 13
35, 169, 11.402367, 3, 19, 9, 12, 13
36, 165, 11.581818, 4, 40, 9, 11, 13
37, 156, 12.371795, 4, 37, 10, 12, 14
38, 174, 11.005747, 4, 26, 9, 11, 13
39, 168, 11.375000, 4, 25, 9, 11, 13
40, 174, 11.028736, 5, 19, 9, 11, 13
41, 177, 10.847458, 3, 26, 9, 11, 13
42, 172, 11.063953, 4, 23, 9, 11, 13
43, 174, 10.971264, 5, 21, 9, 11, 13
44, 173, 11.075145, 3, 21, 9, 11, 13
45, 168, 11.398810, 3, 24, 9, 11, 13
46, 170, 11.205882, 3, 24, 9, 11, 13
47, 139, 13.899281, 2, 113, 10, 12, 14
48, 180, 10.577778, 3, 23, 8, 10, 13
49, 170, 11.252941, 4, 22, 9, 11, 13
50, 172, 11.087209, 5, 23, 9, 11, 13
51, 140, 13.700000, 4, 63, 10, 12, 14
52, 167, 11.431138, 5, 25, 9, 11, 13
53, 172, 11.180233, 3, 24, 10, 11, 13
54, 154, 12.506494, 5, 42, 10, 11, 14
55, 156, 12.352564, 4, 54, 10, 12, 14
56, 171, 11.064327, 6, 24, 9, 11, 13
57, 172, 11.122093, 4, 20, 9, 11, 13
58, 169, 11.378698, 5, 21, 9, 11, 13
59, 140, 13.735714, 5, 101, 9, 12, 14
