time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 167, 11.592814, 3, 42, 9, 11, 13
1, 172, 11.110465, 4, 25, 9, 11, 13
2, 164, 11.689024, 4, 32, 9, 11, 13
3, 155, 12.380645, 3, 68, 9, 11, 14
4, 164, 11.695122, 3, 23, 10, 12, 14
5, 158, 12.063291, 4, 35, 9, 11, 13
6, 149, 12.885906, 5, 31, 10, 12, 15
7, 140, 13.821429, 5, 44, 10, 12, 15
8, 155, 12.374194, 4, 60, 10, 11, 13
9, 156, 12.301282, 4, 31, 9, 11, 14
10, 147, 13.020408, 3, 44, 9, 11, 15
11, 162, 11.956790, 4, 31, 10, 11, 14
12, 179, 10.687151, 4, 17, 9, 11, 13
13, 166, 11.512048, 3, 37, 9, 11, 13
14, 158, 12.196203, 5, 30, 9, 11, 13
15, 172, 11.069767, 3, 27, 9, 11, 13
16, 172, 11.104651, 4, 20, 9, 11, 13
17, 176, 10.920455, 4, 23, 9, 11, 13
18, 171, 11.169591, 3, 27, 9, 11, 13
19, 169, 11.349112, 4, 25, 9, 11, 13
20, 180, 10.638889, 4, 21, 8, 10, 12
21, 174, 11.000000, 3, 20, 9, 11, 13
22, 175, 10.862857, 4, 23, 9, 11, 13
23, 173, 11.046243, 4, 29, 9, 11, 12
24, 173, 11.063584, 4, 20, 9, 11, 13
25, 170, 11.164706, 5, 22, 9, 11, 13
26, 162, 12.000000, 6, 40, 9, 11, 14
27, 175, 10.902857, 3, 27, 9, 11, 13
28, 173, 11.017341, 3, 25, 9, 11, 13
29, 177, 10.824859, 5, 26, 8, 11, 12
30, 176, 10.857955, 3, 21, 9, 11, 13
31, 138, 13.949275, 3, 139, 9, 11, 14
32, 184, 10.364130, 4, 23, 8, 10, 12
33, 180, 10.566667, 4, 26, 8, 10, 12
34, 186, 10.274194, 3, 29, 8, 10, 12
35, 186, 10.247312, 4, 23, 9, 10, 12
36, 189, 10.068783, 3, 20, 8, 10, 12
37, 162, 11.876543, 3, 36, 9, 11, 14
38, 143, 13.447552, 4, 48, 10, 11, 14
39, 171, 11.198830, 3, 46, 9, 11, 13
40, 178, 10.702247, 3, 22, 9, 11, 12
41, 185, 10.313514, 5, 26, 8, 10, 12
42, 190, 10.026316, 3, 25, 8, 10, 12
43, 183, 10.398907, 5, 21, 9, 10, 12
44, 185, 10.335135, 5, 22, 8, 10, 12
45, 169, 11.278107, 4, 34, 9, 11, 13
46, 177, 10.802260, 4, 26, 9, 11, 13
47, 176, 10.857955, 5, 21, 9, 11, 12
48, 172, 11.093023, 4, 23, 9, 11, 13
49, 174, 10.948276, 3, 30, 9, 11, 13
50, 175, 10.994286, 3, 28, 9, 11, 13
51, 174, 11.017241, 3, 25, 9, 11, 12
52, 179, 10.625698, 4, 23, 9, 10, 12
53, 177, 10.711864, 5, 17, 9, 11, 12
54, 172, 11.145349, 5, 27, 9, 11, 13
55, 180, 10.622222, 4, 25, 9, 10, 12
56, 176, 10.931818, 4, 25, 9, 11, 13
57, 163, 11.809816, 3, 29, 9, 11, 14
58, 172, 11.087209, 5, 26, 9, 10, 13
59, 161, 11.838509, 4, 25, 9, 12, 13
