time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 1764, 0.550454, 0, 16, 0, 1, 1
1, 1799, 0.538077, 0, 2, 0, 1, 1
2, 1815, 0.520661, 0, 2, 0, 1, 1
3, 1778, 0.572553, 0, 2, 0, 1, 1
4, 1787, 0.561835, 0, 4, 0, 1, 1
5, 1776, 0.556869, 0, 9, 0, 1, 1
6, 1790, 0.556983, 0, 2, 0, 1, 1
7, 1803, 0.537992, 0, 2, 0, 1, 1
8, 1811, 0.514633, 0, 2, 0, 1, 1
9, 1815, 0.533333, 0, 2, 0, 1, 1
10, 1796, 0.531737, 0, 13, 0, 1, 1
11, 1789, 0.547233, 0, 4, 0, 1, 1
12, 1795, 0.540390, 0, 3, 0, 1, 1
13, 1765, 0.560907, 0, 9, 0, 1, 1
14, 1794, 0.549052, 0, 3, 0, 1, 1
15, 1816, 0.529185, 0, 2, 0, 1, 1
16, 1803, 0.536328, 0, 2, 0, 1, 1
17, 1797, 0.524763, 0, 2, 0, 1, 1
18, 1813, 0.520684, 0, 2, 0, 1, 1
19, 1818, 0.513201, 0, 2, 0, 1, 1
20, 1794, 0.527871, 0, 6, 0, 1, 1
21, 1809, 0.528469, 0, 2, 0, 1, 1
22, 1794, 0.539576, 0, 3, 0, 1, 1
23, 1777, 0.551491, 0, 5, 0, 1, 1
24, 1809, 0.537313, 0, 2, 0, 1, 1
25, 1748, 0.585812, 0, 7, 0, 1, 1
26, 1686, 0.649466, 0, 2, 0, 1, 1
27, 1677, 0.630292, 0, 8, 0, 1, 1
28, 1716, 0.596154, 0, 3, 0, 1, 1
29, 1755, 0.556695, 0, 3, 0, 1, 1
30, 1704, 0.609155, 0, 14, 0, 1, 1
31, 1737, 0.572827, 0, 2, 0, 1, 1
32, 1709, 0.622586, 0, 3, 0, 1, 1
33, 1719, 0.602676, 0, 3, 0, 1, 1
34, 1731, 0.588099, 0, 2, 0, 1, 1
35, 1796, 0.545100, 0, 2, 0, 1, 1
36, 1797, 0.540902, 0, 2, 0, 1, 1
37, 1788, 0.555928, 0, 2, 0, 1, 1
38, 1803, 0.520244, 0, 3, 0, 1, 1
39, 1773, 0.578116, 0, 2, 0, 1, 1
40, 1429, 0.901330, 0, 50, 0, 1, 1
41, 1448, 0.891575, 0, 11, 1, 1, 1
42, 1702, 0.658049, 0, 3, 0, 1, 1
43, 1549, 0.798580, 0, 4, 1, 1, 1
44, 1729, 0.630422, 0, 3, 0, 1, 1
45, 1809, 0.547264, 0, 2, 0, 1, 1
46, 1746, 0.607102, 0, 3, 0, 1, 1
47, 1705, 0.636950, 0, 3, 0, 1, 1
48, 1737, 0.584917, 0, 3, 0, 1, 1
49, 1714, 0.608518, 0, 2, 0, 1, 1
50, 1705, 0.598827, 0, 17, 0, 1, 1
51, 1808, 0.540376, 0, 3, 0, 1, 1
52, 1791, 0.538247, 0, 2, 0, 1, 1
53, 1710, 0.620468, 0, 10, 0, 1, 1
54, 1790, 0.546927, 0, 3, 0, 1, 1
55, 1782, 0.568462, 0, 3, 0, 1, 1
56, 1773, 0.561760, 0, 2, 0, 1, 1
57, 1649, 0.650091, 0, 56, 0, 1, 1
58, 1814, 0.515987, 0, 3, 0, 0, 1
59, 1802, 0.528857, 0, 3, 0, 1, 1
60, 2, 0.500000, 0, 1, 0, 0, 1
